date,needs:method_verification,needs:parameter_verification,needs:example_verification,needs:body_verification
1462759202,39,57,57,57
1462762802,39,57,57,57
1462766402,39,57,57,57
1462770002,39,57,57,57
1462773603,39,57,57,57
1462777202,39,57,57,57
1462780802,39,57,57,57
1462784402,39,57,57,57
1462788004,39,57,57,57
1462791603,39,57,57,57
1462795203,37,57,57,57
1462798802,37,57,57,57
1462802404,37,57,57,57
1462806003,35,57,57,57
1462809603,34,57,57,57
1462813202,34,57,57,57
1462816802,34,57,57,57
1462820403,33,57,57,57
1462824001,33,57,57,57
1462827602,33,57,57,57
1462831202,33,57,57,57
1462834802,33,57,57,57
1462838402,33,57,57,57
1462842002,33,57,57,57
1462845603,32,57,57,57
1462849202,32,57,57,57
1462852802,32,57,57,57
1462856402,32,57,57,57
1462860002,32,57,57,57
1462863601,32,57,57,57
1462867201,32,57,57,57
1462870802,32,57,57,57
1462874403,32,57,57,57
1462878003,29,57,57,57
1462881602,29,57,57,57
1462885203,28,57,57,57
1462888804,28,57,57,57
1462892404,28,57,57,57
1462899601,28,55,56,56
1462903201,28,55,56,56
1462906803,28,55,56,56
1462910402,28,55,56,56
1462914002,28,55,56,56
1462917602,28,55,56,56
1462921203,28,55,56,56
1462924804,27,55,56,56
1462928402,27,55,56,56
1462932001,27,55,56,56
1462935601,27,55,56,56
1462939201,27,55,56,56
1462942802,27,55,56,56
1462946402,27,55,56,56
1462950003,26,54,55,55
1462953602,26,54,55,55
1462957202,26,54,55,55
1462960802,26,54,55,55
1462964402,26,54,55,55
1462968002,26,54,55,55
1462971604,26,54,55,55
1462975204,24,53,55,54
1462978804,24,53,55,54
1462982403,24,53,55,54
1462986003,22,51,53,52
1462989601,22,51,53,52
1462993202,22,51,53,52
1462996804,21,51,53,52
1463000403,21,51,53,52
1463004004,19,51,53,52
1463007604,19,51,53,52
1463011204,19,51,53,52
1463014803,19,51,53,52
1463018401,19,51,53,52
1463022003,19,51,53,52
1463025602,19,51,53,52
1463029204,19,51,53,52
1463032804,19,51,53,52
1463036402,19,51,53,52
1463040002,19,51,53,52
1463043604,19,51,53,52
1463047204,19,51,53,52
1463050804,18,51,53,52
1463054402,18,51,53,52
1463058004,17,51,53,52
1463061602,17,51,53,52
1463065202,17,51,53,52
1463068803,17,51,53,52
1463072403,15,51,53,52
1463076001,15,51,53,52
1463079603,15,51,53,52
1463083203,15,51,53,52
1463086803,15,51,53,52
1463090404,15,51,53,52
1463094004,15,51,53,52
1463097604,15,51,53,52
1463101203,14,50,52,51
1463104801,14,50,52,51
1463108401,14,50,52,51
1463112003,14,50,52,51
1463115602,14,50,52,51
1463119202,14,50,52,51
1463122802,14,50,52,51
1463126402,14,50,52,51
1463130002,14,50,52,51
1463133602,14,50,52,51
1463137203,14,50,52,51
1463140804,13,49,52,51
1463144402,13,49,52,51
